city,lat,long,temp,hum,cld,wind,country
ewa beach,21.32,-158.01,79.3,45,40,24.16,US
port hardy,50.7,-127.42,55.4,62,90,12.75,CA
sorland,67.67,12.69,40.17,72,56,16.13,NO
bardiyah,31.76,25.09,61.2,82,0,12.26,LY
puerto escondido,15.85,-97.07,86.0,70,5,3.47,MX
garissa,-0.45,39.64,78.22,73,65,11.39,KE
kibre mengist,5.88,38.98,60.26,59,98,1.05,ET
urusha,54.05,122.9,34.34,56,0,16.73,RU
zaozerne,45.16,33.28,54.21,68,0,7.18,UA
lieksa,63.32,30.02,29.39,93,92,5.37,FI
moussoro,13.64,16.49,84.52,27,96,3.31,TD
road town,18.42,-64.62,80.65,84,8,1.01,VG
abu samrah,35.3,37.18,56.73,71,1,8.86,SY
weihe,33.0,105.32,66.25,36,49,1.77,CN
ponta delgada,37.73,-25.67,62.6,88,75,21.92,PT
yarada,17.65,83.27,75.2,94,75,3.36,IN
tabas,33.6,56.92,71.6,35,56,2.24,IR
aljezur,37.32,-8.8,62.01,93,71,1.99,PT
tuatapere,-46.13,167.68,55.87,76,100,2.68,NZ
vaitape,-16.52,-151.75,83.48,73,11,8.84,PF
tome,-36.62,-72.95,55.4,87,90,5.82,CL
jeremie,18.65,-74.12,80.06,73,43,4.21,HT
thio,-21.62,166.22,84.2,58,45,10.29,NC
puerto del rosario,28.5,-13.86,66.2,82,75,16.11,ES
muravlenko,63.79,74.52,29.53,98,100,8.14,RU
sao felix do xingu,-6.64,-51.99,73.8,89,37,2.01,BR
kondinskoye,59.65,67.41,37.24,86,45,5.32,RU
snasa,64.25,12.38,37.72,80,94,7.74,NO
inongo,-1.95,18.27,72.07,85,100,2.71,CD
shelburne,44.08,-80.2,53.46,50,1,5.82,CA
kuusamo,65.97,29.18,24.8,68,71,2.24,FI
bundibugyo,0.74,30.04,68.45,72,74,2.3,UG
krotoszyn,51.7,17.44,48.0,84,58,7.74,PL
necochea,-38.55,-58.74,55.0,85,20,3.0,AR
abnub,27.27,31.15,77.0,38,0,2.24,EG
hato mayor,18.76,-69.26,82.35,78,20,9.17,DO
key west,24.56,-81.78,77.04,57,1,13.87,US
jardim,-21.48,-56.14,74.93,51,6,1.95,BR
manono,-7.3,27.42,69.4,78,24,2.89,CD
nizhniy kuranakh,58.84,125.49,24.84,91,100,11.63,RU
byron bay,-28.65,153.62,61.27,48,0,17.22,AU
naze,28.37,129.48,70.72,83,75,11.41,JP
salvador,13.83,-88.92,81.84,79,90,4.7,SV
palora,-1.7,-77.93,71.6,88,40,2.24,EC
los llanos de aridane,28.66,-17.92,68.0,72,90,8.05,ES
tiarei,-17.53,-149.33,87.8,66,34,3.36,PF
pasaje,-3.33,-79.82,86.0,62,20,3.36,EC
santa fe,-31.63,-60.7,65.34,76,0,3.6,AR
ahuimanu,21.44,-157.84,80.22,58,20,17.22,US
baruun-urt,46.68,113.28,57.29,31,100,21.21,MN
mokhsogollokh,61.47,128.92,28.45,89,100,10.8,RU
pronsk,54.1,39.61,37.99,87,77,1.01,RU
mildura,-34.2,142.15,56.14,100,90,11.41,AU
leshukonskoye,64.9,45.76,26.08,96,99,5.48,RU
elizabeth city,36.29,-76.25,56.52,82,90,9.17,US
porbandar,21.64,69.61,79.38,88,0,11.97,IN
kruisfontein,-34.0,24.73,57.88,56,49,5.32,ZA
mossendjo,-2.95,12.73,71.01,85,98,1.16,CG
aklavik,68.22,-135.01,32.0,91,20,2.24,CA
guamal,9.14,-74.22,80.53,86,97,3.06,CO
qasigiannguit,68.82,-51.19,30.2,92,99,11.41,GL
la palma,33.85,-118.05,73.92,53,1,6.93,US
tarko-sale,64.92,77.78,25.05,96,88,9.37,RU
aberdeen,57.14,-2.1,46.22,81,75,10.29,GB
sulangan,11.14,123.72,81.73,77,79,10.25,PH
urengoy,65.97,78.37,21.42,97,49,9.51,RU
upata,8.01,-62.4,79.0,87,12,5.99,VE
rio gallegos,-51.62,-69.22,50.0,81,94,13.87,AR
raga,8.46,25.68,72.3,60,25,3.74,SS
tarija,-21.54,-64.73,62.6,77,75,6.93,BO
ganta,7.3,-8.53,74.03,85,88,2.37,LR
turtas,58.94,69.13,35.46,93,17,4.12,RU
lida,53.88,25.3,44.65,88,35,11.74,BY
mayumba,-3.43,10.66,78.98,88,89,4.41,GA
xilopolis,40.93,23.18,58.66,77,70,1.99,GR
tiznit,29.58,-9.5,70.5,47,0,2.93,MA
klyuchi,52.27,79.17,52.68,75,19,7.02,RU
zhaotong,27.32,103.72,57.2,43,41,2.06,CN
maku,39.29,44.45,50.32,48,77,1.45,IR
sechura,-5.56,-80.82,76.71,64,21,14.92,PE
kangaatsiaq,68.31,-53.46,32.05,98,100,16.37,GL
kasempa,-13.46,25.83,62.37,56,11,3.65,ZM
novo aripuana,-5.12,-60.38,76.1,88,56,1.48,BR
ornskoldsvik,63.29,18.72,37.4,93,100,14.99,SE
